# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Thu Oct 21 00:06:05 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 7.00000 0.0900000036 1.0816895962    0.090 -2.066  3.3991  4.006    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.62e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.934 11.949 14.510 10.498
0.01471 0.00000 7.00000 0.1000000015 1.1711064577    0.100 -2.003  3.4058  4.016    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.777 11.793 14.357 10.342
0.01471 0.00000 7.00000 0.1085188761 1.2385675907    0.108 -1.953  3.4110  4.022    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.2e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.652 11.668 14.234 10.216
0.01471 0.00000 7.00000 0.1247206256 1.3496549129    0.125 -1.867  3.4200  4.033    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.437 11.418 13.946 9.974
0.01471 0.00000 7.00000 0.1381183565 1.4282139540    0.138 -1.802  3.4267  4.039    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.14e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.276 11.162 13.582 9.739
0.01471 0.00000 7.00000 0.1437702775 1.4584399462    0.144 -1.778  3.4296  4.043    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.3e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.214 11.059 13.433 9.646
0.01471 0.00000 7.00000 0.1476776004 1.4784471989    0.148 -1.760  3.4316  4.046    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.43e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.171 10.988 13.333 9.581
0.01471 0.00000 7.00000 0.1499548405 1.4897930622    0.150 -1.749  3.4328  4.046    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.53e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.143 10.945 13.274 9.542
0.01471 0.00000 7.00000 0.1693065912 1.5779639482    0.169 -1.671  3.4417  4.056    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.18e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.947 10.638 12.848 9.260
0.01471 0.00000 7.00000 0.1828361005 1.6321722269    0.183 -1.620  3.4477  4.063    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.64e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.820 10.437 12.569 9.076
0.01471 0.00000 7.00000 0.1975269616 1.6854212284    0.197 -1.570  3.4535  4.069    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.11e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.695 10.243 12.299 8.899
0.01471 0.00000 7.00000 0.2103439122 1.7278361320    0.210 -1.530  3.4579  4.075    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.5e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.596 10.092 12.089 8.762
0.01471 0.00000 7.00000 0.2289150804 1.7836687565    0.229 -1.476  3.4641  4.082    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.1e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.459 9.889 11.812 8.576
0.01471 0.00000 7.00000 0.2491669208 1.8382066488    0.249 -1.421  3.4703  4.089    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.73e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.322 9.690 11.546 8.395
0.01471 0.00000 7.00000 0.2697921097 1.8881256580    0.270 -1.370  3.4763  4.096    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.35e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.195 9.506 11.298 8.227
0.01471 0.00000 7.00000 0.2991636097 1.9512360096    0.299 -1.303  3.4844  4.106    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.027 9.261 10.967 8.006
0.01471 0.00000 7.00000 0.3000000119 1.9529139996    0.300 -1.301  3.4846  4.106    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.022 9.255 10.958 8.000
0.01471 0.00000 7.00000 0.3208860755 1.9929440022    0.321 -1.259  3.4897  4.114    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.917 9.101 10.750 7.862
0.01471 0.00000 7.00000 0.3500000238 2.0434176922    0.350 -1.203  3.4964  4.123    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.778 8.909 10.499 7.687
0.01471 0.00000 7.00000 0.3603456318 2.0600552559    0.360 -1.186  3.4985  4.127    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.735 8.849 10.422 7.633
0.01471 0.00000 7.00000 0.4000000358 2.1185026169    0.400 -1.120  3.5064  4.138    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.570 8.626 10.136 7.430
0.01471 0.00000 7.00000 0.4196018875 2.1446805000    0.419 -1.090  3.5102  4.144    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.496 8.524 10.003 7.337
0.01471 0.00000 7.00000 0.4500000179 2.1822810173    0.450 -1.045  3.5160  4.152    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.383 8.370 9.804 7.198
0.01471 0.00000 7.00000 0.4760716558 2.2119908333    0.476 -1.011  3.5208  4.162    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.298 8.251 9.649 7.092
0.01471 0.00000 7.00000 0.5000000000 2.2374541759    0.500 -0.979  3.5251  4.169    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.219 8.141 9.506 6.994
0.01471 0.00000 7.00000 0.5128665566 2.2503361702    0.513 -0.964  3.5277  4.174    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.179 8.083 9.427 6.943
0.01471 0.00000 7.00000 0.5434181690 2.2781331539    0.543 -0.927  3.5328  4.183    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.086 7.955 9.262 6.830
0.01471 0.00000 7.00000 0.5500000119 2.2836582661    0.550 -0.919  3.5337  4.184    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.068 7.930 9.230 6.808
0.01471 0.00000 7.00000 0.5567126870 2.2891390324    0.556 -0.911  3.5352  4.187    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.048 7.901 9.191 6.782
0.01471 0.00000 7.00000 0.5864229202 2.3116736412    0.586 -0.877  3.5405  4.197    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.962 7.779 9.030 6.675
0.01471 0.00000 7.00000 0.6000000238 2.3211214542    0.600 -0.862  3.5425  4.200    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.925 7.728 8.965 6.631
0.01471 0.00000 7.00000 0.6209546328 2.3347744942    0.621 -0.837  3.5471  4.208    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.862 7.634 8.839 6.550
0.01471 0.00000 7.00000 0.6499999762 2.3520355225    0.650 -0.804  3.5524  4.216    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.780 7.517 8.684 6.449
0.01471 0.00000 7.00000 0.6672595143 2.3614776134    0.667 -0.782  3.5564  4.222    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.725 7.436 8.576 6.380
0.01471 0.00000 7.00000 0.7000000477 2.3779268265    0.700 -0.740  3.5636  4.230    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.621 7.284 8.376 6.251
0.01471 0.00000 7.00000 0.7500000000 2.3998889923    0.750 -0.582  3.6185  4.321    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.66e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 6.225 6.557 7.343 5.690
0.01471 0.00000 7.00000 0.7690234184 2.4073874950    0.769 -0.564  3.6207  4.323    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 6.181 6.501 7.277 5.641
