# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.50000 0.0900000036 1.0816895962    0.090 -1.517  3.4265  3.567    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.562 10.467 12.817 9.051
0.0152 0.01508 6.50000 0.0920242891 1.1008026600    0.092 -1.513  3.4268  3.575    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.553 10.454 12.800 9.039
0.0152 0.01508 6.50000 0.1034724265 1.1994750500    0.103 -1.480  3.4300  3.604    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.469 10.322 12.625 8.917
0.0152 0.01508 6.50000 0.1104671732 1.2530329227    0.110 -1.460  3.4322  3.622    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.420 10.247 12.525 8.847
0.0152 0.01508 6.50000 0.1174051687 1.3019695282    0.117 -1.450  3.4332  3.642    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.395 10.208 12.476 8.811
0.0152 0.01508 6.50000 0.1213325933 1.3280352354    0.121 -1.439  3.4343  3.650    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.368 10.168 12.423 8.774
0.0152 0.01508 6.50000 0.1282889545 1.3716146946    0.128 -1.406  3.4380  3.656    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.284 10.040 12.250 8.655
0.0152 0.01508 6.50000 0.1350824088 1.4113059044    0.135 -1.386  3.4402  3.667    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.235 9.964 12.148 8.585
0.0152 0.01508 6.50000 0.1436701417 1.4579179287    0.144 -1.362  3.4430  3.681    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.176 9.871 12.023 8.500
0.0152 0.01508 6.50000 0.1507771015 1.4938348532    0.151 -1.335  3.4460  3.687    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.108 9.768 11.884 8.405
0.0152 0.01508 6.50000 0.1577448100 1.5269730091    0.158 -1.317  3.4480  3.697    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.062 9.698 11.792 8.341
0.0152 0.01508 6.50000 0.1612925231 1.5431232452    0.161 -1.310  3.4490  3.703    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.045 9.669 11.751 8.314
0.0152 0.01508 6.50000 0.1712784618 1.5862089396    0.171 -1.268  3.4539  3.707    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.939 9.509 11.534 8.167
0.0152 0.01508 6.50000 0.1813068241 1.6263104677    0.181 -1.234  3.4576  3.713    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.855 9.384 11.367 8.053
0.0152 0.01508 6.50000 0.1913483441 1.6636747122    0.191 -1.211  3.4602  3.723    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.46e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.796 9.296 11.249 7.972
