source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error
3374836252947269888,90.97993942986818,20.138441150108694,0.7635539712812923,0.12187944,4.5121093,4.6694283,4.2037134,0.46571493,0.15731907,0.30839586,,
3429829048565502848,89.49856114377457,25.953902795771025,0.8614699648345876,0.17895156,4.7625966,4.7233915,4.8042736,-0.08088207,-0.039205074,-0.041677,,
3427962936819149824,89.23383158385656,24.24968210795231,0.5311144968916315,0.03226936,5.8762817,6.106418,5.4494615,0.6569567,0.2301364,0.42682028,,
3399135872241463808,86.29800405119323,18.704354180371073,0.754730737224429,0.07622171,6.107631,6.9132724,5.226769,1.6865034,0.8056412,0.88086224,11.112896,0.35911965
3404384322275638016,84.81177915558891,23.323343593434632,0.7589554650425566,0.030614372,6.678325,7.7791386,5.650781,2.1283574,1.1008134,1.027544,9.204568,0.20748511
3428532105884757632,86.30720406885953,24.420104432910847,0.8481502691268293,0.034108322,6.811749,8.546803,5.608303,2.9385004,1.7350545,1.2034459,,
3423087908418163072,88.90767859780729,20.46896889068349,0.8664391214345718,0.024830868,6.904011,7.916878,5.9163175,2.0005608,1.0128675,0.9876933,15.407873,0.2289537
3401289987317420416,82.77102396308788,20.189153026383877,0.8505303331276772,0.030005544,6.9200573,8.44148,5.719305,2.7221746,1.5214224,1.2007523,8.430788,0.9156827
3424656293035086208,90.28187905926232,23.30484775313168,0.4931804530982667,0.021779224,7.148981,7.5180736,6.573708,0.9443655,0.36909246,0.57527304,,
3397912493755048448,84.16139574278755,18.937052619833587,0.9756908142515636,0.023102045,7.389302,8.057624,6.597544,1.4600797,0.6683221,0.7917576,-8.458039,0.1745895
3402983608883878016,83.91883273030244,21.403216892388098,0.5456454172073251,0.030750202,7.496802,7.5702705,7.292832,0.27743864,0.073468685,0.20396996,,
3403604253136744960,83.15275479734666,20.917761053424794,0.918066454045284,0.022048663,7.5119333,8.685688,6.446269,2.239419,1.1737547,1.0656643,25.001432,0.24386324
3399115531276230656,85.50018885471148,18.540814984754583,0.7121891530055343,0.041360278,7.5168343,9.845576,6.1417723,3.703804,2.328742,1.375062,,
3427591301886790400,86.16217557652715,23.020811879332886,0.7780727050789322,0.0318926,7.529057,8.492586,6.563644,1.9289422,0.9635291,0.9654131,9.298709,0.2040804
3441336228026037248,85.46826289800282,26.25868658935312,0.912998486240855,0.023668911,7.635294,8.586036,6.676939,1.9090967,0.95074177,0.95835495,16.774956,0.19343753
3423699786637900160,90.79885118426304,22.342567070310054,0.9604241036354784,0.060105186,7.6672463,8.445118,6.808342,1.636776,0.7778716,0.85890436,8.589195,1.0900294
3398822751945120128,88.0950752415222,19.149700823579217,0.3787425642730726,0.02402366,7.686237,8.0885515,7.068511,1.0200405,0.40231466,0.61772585,,
3404272618766739456,84.3883946583383,22.96803045833564,0.7423942383607305,0.022401383,7.781436,8.829502,6.7745233,2.0549788,1.0480661,1.0069127,14.871991,0.17601992
3423966516992457984,88.21275444443987,21.64058161108853,0.7958042693891887,0.04544325,7.804759,9.603479,6.522051,3.0814285,1.7987204,1.2827082,11.032736,0.25512764
3415082432974944768,77.82447807799683,22.116869922429338,0.4912174203693261,0.028997598,7.808223,8.274342,7.149176,1.1251655,0.4661188,0.65904665,17.08356,0.40107077
3429722121064105600,90.26606484492584,25.891519520532178,0.7473885058326885,0.029256785,7.8596334,9.295944,6.6914377,2.6045065,1.4363108,1.1681957,18.68942,0.23571262
3422793166284141568,90.07170370308765,20.055317980302945,0.9236508357084935,0.052138213,7.9324408,8.840876,6.9961066,1.844769,0.90843487,0.93633413,-9.8322935,4.878053
3398383973788673024,86.41887565024105,18.65688352073927,0.8261683815402833,0.023320442,7.9512544,8.342028,7.369637,0.97239065,0.3907733,0.58161736,-3.6721156,2.7428443
3398998192769707264,89.23023376815627,20.108688204916117,0.35199502018173573,0.02536871,8.023889,9.497363,6.85176,2.6456032,1.4734745,1.1721287,18.165873,0.19121695
3424657152028541312,90.27445794329955,23.338985293112284,0.4591741785740388,0.02810474,8.055546,8.384508,7.520394,0.8641143,0.32896233,0.53515196,,
3428847523984540800,86.03229880230371,25.373790598959413,0.8269354821286277,0.0472682,8.067821,9.2456665,6.978736,2.2669306,1.177846,1.0890846,6.9760284,2.4847643
3428074399809555072,89.12631780113969,25.04077848102953,0.9833251549921774,0.029468207,8.080438,8.915372,7.1859584,1.7294135,0.83493423,0.8944793,26.10455,0.21209005
