# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Wed Oct 20 04:51:27 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=3.1, with coefficients derived for the Sun, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.50000 0.0900000036 1.0816895962    0.090 -1.517  3.4265  3.567    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.562 13.220 16.410 11.130
0.0152 0.01508 6.50000 0.0920242891 1.1008026600    0.092 -1.513  3.4268  3.575    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.553 13.196 16.369 11.108
0.0152 0.01508 6.50000 0.1034724265 1.1994750500    0.103 -1.480  3.4300  3.604    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.469 13.001 16.062 10.929
0.0152 0.01508 6.50000 0.1104671732 1.2530329227    0.110 -1.460  3.4322  3.622    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.420 12.913 15.934 10.848
0.0152 0.01508 6.50000 0.1174051687 1.3019695282    0.117 -1.450  3.4332  3.642    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.395 12.860 15.853 10.799
0.0152 0.01508 6.50000 0.1213325933 1.3280352354    0.121 -1.439  3.4343  3.650    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.368 12.814 15.789 10.756
0.0152 0.01508 6.50000 0.1282889545 1.3716146946    0.128 -1.406  3.4380  3.656    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.284 12.684 15.615 10.635
0.0152 0.01508 6.50000 0.1350824088 1.4113059044    0.135 -1.386  3.4402  3.667    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.235 12.601 15.502 10.558
0.0152 0.01508 6.50000 0.1436701417 1.4579179287    0.144 -1.362  3.4430  3.681    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.176 12.499 15.364 10.463
0.0152 0.01508 6.50000 0.1507771015 1.4938348532    0.151 -1.335  3.4460  3.687    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.108 12.397 15.226 10.369
0.0152 0.01508 6.50000 0.1577448100 1.5269730091    0.158 -1.317  3.4480  3.697    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.062 12.326 15.128 10.304
0.0152 0.01508 6.50000 0.1612925231 1.5431232452    0.161 -1.310  3.4490  3.703    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.045 12.295 15.084 10.275
0.0152 0.01508 6.50000 0.1712784618 1.5862089396    0.171 -1.268  3.4539  3.707    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.939 12.144 14.876 10.135
0.0152 0.01508 6.50000 0.1813068241 1.6263104677    0.181 -1.234  3.4576  3.713    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.855 12.023 14.711 10.024
0.0152 0.01508 6.50000 0.1913483441 1.6636747122    0.191 -1.211  3.4602  3.723    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.46e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.796 11.935 14.590 9.944
0.0152 0.01508 6.50000 0.2003560662 1.6950856447    0.200 -1.199  3.4617  3.738    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.768 11.884 14.516 9.898
0.0152 0.01508 6.50000 0.2151179612 1.7427845001    0.215 -1.153  3.4673  3.744    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.59e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.652 11.719 14.284 9.747
0.0152 0.01508 6.50000 0.2301564664 1.7871897221    0.230 -1.115  3.4718  3.754    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.557 11.582 14.092 9.623
0.0152 0.01508 6.50000 0.2454635501 1.8286733627    0.245 -1.084  3.4755  3.766    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.77e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.480 11.469 13.936 9.521
0.0152 0.01508 6.50000 0.2697553933 1.8880412579    0.270 -1.030  3.4827  3.781    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.344 11.269 13.655 9.342
0.0152 0.01508 6.50000 0.2922107577 1.9370464087    0.292 -0.983  3.4888  3.794    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.228 11.100 13.418 9.190
0.0152 0.01508 6.50000 0.3000000119 1.9529139996    0.300 -0.968  3.4907  3.798    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.191 11.047 13.344 9.143
0.0152 0.01508 6.50000 0.3254787922 2.0012934208    0.325 -0.918  3.4976  3.811    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.065 10.864 13.090 8.980
0.0152 0.01508 6.50000 0.3554904163 2.0523254871    0.356 -0.865  3.5048  3.825    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.933 10.671 12.822 8.810
0.0152 0.01508 6.50000 0.3987213373 2.1167371273    0.399 -0.792  3.5155  3.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.749 10.398 12.446 8.570
0.0152 0.01508 6.50000 0.4000000358 2.1185026169    0.400 -0.790  3.5157  3.845    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.744 10.391 12.436 8.564
0.0152 0.01508 6.50000 0.4040442705 2.1240382195    0.404 -0.783  3.5168  3.846    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.728 10.366 12.401 8.542
